index,Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,363sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
0,1st Centennial Bancorp,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,2009-03-25,Chapter 7 at filing,Chapter 7 at filing,,CA,CA CD,Riverside,Filed at headquarters,debtors,not applicable,148.0,company did not emerge,not emerged 5 years,CA Riverside,,c $500 million but less than $1billion,e Less than 200,65378117.0,845.0,Chapter 7,Reid Hellyer
1,"21st Century Oncology Holdings, Inc.",I: Services,80 Health Services,Not tort,2017-05-25,confirmed,no 363 sale,231.0,DE,NY SD,White Plains,Forum Shop,debtors,prenegotiated,3930.0,Company emerged,not emerged 5 years,FL Fort Myers,2018-01-11,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1148641882.0,1201.0,Chapter 11,Kirkland Ellis
2,"A. H. Robins Company, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Other products,1985-08-21,confirmed,no 363 sale,1069.0,VA,VA ED,Richmond,Filed at headquarters,debtors,free fall,6000.0,Company emerged,"emerged 5 years, did not refile",VA Richmond,1988-07-25,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1523992373.0,1563.0,Chapter 11,Murphy Sheneman
3,A. M. Castle & Co.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,2017-06-18,confirmed,no 363 sale,45.0,MD,DE,Wilmington,Forum Shop,debtors,prepackaged,908.0,Company emerged,not emerged 5 years,IL Chicago,2017-08-02,d Less than $500 million,"d 200 but less than 1,000",566927448.0,350.0,Chapter 11,Pachulski Stang
4,"A123 Systems, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,2012-10-16,confirmed,363 sale,216.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,1983.0,Company emerged,"emerged 5 years, did not refile",MA Boston,2013-05-20,c $500 million but less than $1billion,"c 1,000 but less than 10,000",179207130.0,705.0,Chapter 11,Latham Watkins
5,"AAC Holdings, Inc.",I: Services,80 Health Services,Not tort,2020-06-20,confirmed,no 363 sale,122.0,NV,DE,Wilmington,Forum Shop,debtors,prenegotiated,1900.0,Company emerged,not emerged 5 years,TN Nashville,2020-10-20,d Less than $500 million,"c 1,000 but less than 10,000",298834244.0,457.0,Chapter 11,Greenberg Traurig
6,aaiPharma Inc.,I: Services,"87 Engineering, Accounting, Research, Management, and Related Services",Fraud?,2005-05-10,confirmed,no 363 sale,255.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,924.0,Company emerged,"emerged 5 years, did not refile",NC Wilmington,2006-01-20,d Less than $500 million,"d 200 but less than 1,000",288517831.0,454.0,Chapter 11,Fried Frank
7,"ABC-NACO, Inc.",D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,2001-10-18,dismissed,363 sale,917.0,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,4418.0,Company emerged,"emerged 5 years, did not refile",IL Chicago,2004-04-22,c $500 million but less than $1billion,"c 1,000 but less than 10,000",706812396.0,695.0,Chapter 11,D'Ancona Pflaum
8,AbitibiBowater Inc.,D: Manufacturing,26 Paper and Allied Products,Not tort,2009-04-16,confirmed,no 363 sale,586.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,15900.0,Company emerged,"emerged 5 years, did not refile",Outside United States,2010-11-23,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",8272370797.0,9862.0,Chapter 11,Paul Weiss
9,Acceptance Insurance Companies Inc.,"H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,2005-01-07,converted,no 363 sale,2069.0,DE,NE,Omaha,Forum Shop,debtors,free fall,23.0,company did not emerge,not emerged 5 years,IA Council Bluffs,2010-09-07,d Less than $500 million,e Less than 200,5463534.0,381.0,Chapter 11,Kutak Rock
