Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
1st Centennial Bancorp,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,3/25/09,Chapter 7 at filing,Chapter 7 at filing,,CA,CA CD,Riverside,Filed at headquarters,debtors,not applicable,148,company did not emerge,not emerged 5 years,CA Riverside,,c $500 million but less than $1billion,e Less than 200,"$65,378,117 ",$845 ,Chapter 7,Reid Hellyer
"21st Century Oncology Holdings, Inc.",I: Services,80 Health Services,Not tort,5/25/17,confirmed,no 363 sale,231,DE,NY SD,White Plains,Forum Shop,debtors,prenegotiated,"3,930",Company emerged,not emerged 5 years,FL Fort Myers,1/11/18,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,148,641,882 ","$1,201 ",Chapter 11,Kirkland Ellis
"A. H. Robins Company, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Other products,8/21/85,confirmed,no 363 sale,"1,069",VA,VA ED,Richmond,Filed at headquarters,debtors,free fall,"6,000",Company emerged,"emerged 5 years, did not refile",VA Richmond,7/25/88,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,523,992,373 ","$1,563 ",Chapter 11,Murphy Sheneman
A. M. Castle & Co.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,6/18/17,confirmed,no 363 sale,45,MD,DE,Wilmington,Forum Shop,debtors,prepackaged,908,Company emerged,not emerged 5 years,IL Chicago,8/2/17,d Less than $500 million,"d 200 but less than 1,000","$566,927,448 ",$350 ,Chapter 11,Pachulski Stang
"A123 Systems, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,10/16/12,confirmed,363 sale,216,DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,983",Company emerged,"emerged 5 years, did not refile",MA Boston,5/20/13,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$179,207,130 ",$705 ,Chapter 11,Latham Watkins
"AAC Holdings, Inc.",I: Services,80 Health Services,Not tort,6/20/20,confirmed,no 363 sale,122,NV,DE,Wilmington,Forum Shop,debtors,prenegotiated,"1,900",Company emerged,not emerged 5 years,TN Nashville,10/20/20,d Less than $500 million,"c 1,000 but less than 10,000","$298,834,244 ",$457 ,Chapter 11,Greenberg Traurig
aaiPharma Inc.,I: Services,"87 Engineering, Accounting, Research, Management, and Related Services",Fraud?,5/10/05,confirmed,no 363 sale,255,DE,DE,Wilmington,Forum Shop,debtors,free fall,924,Company emerged,"emerged 5 years, did not refile",NC Wilmington,1/20/06,d Less than $500 million,"d 200 but less than 1,000","$288,517,831 ",$454 ,Chapter 11,Fried Frank
"ABC-NACO, Inc.",D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,10/18/01,dismissed,363 sale,917,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,"4,418",Company emerged,"emerged 5 years, did not refile",IL Chicago,4/22/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$706,812,396 ",$695 ,Chapter 11,D'Ancona Pflaum
AbitibiBowater Inc.,D: Manufacturing,26 Paper and Allied Products,Not tort,4/16/09,confirmed,no 363 sale,586,DE,DE,Wilmington,Forum Shop,debtors,free fall,"15,900",Company emerged,"emerged 5 years, did not refile",Outside United States,11/23/10,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$8,272,370,797 ","$9,862 ",Chapter 11,Paul Weiss
Acceptance Insurance Companies Inc.,"H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,1/7/05,converted,no 363 sale,"2,069",DE,NE,Omaha,Forum Shop,debtors,free fall,23,company did not emerge,not emerged 5 years,IA Council Bluffs,9/7/10,d Less than $500 million,e Less than 200,"$5,463,534 ",$381 ,Chapter 11,Kutak Rock
